index	prefix_1	prefix_2	prefix_3	tree_depth	radius_A	radius_B
1042	1	7	16	0	2.487	2.318
1051	1	7	25	0	3.214	2.387
1055	2	2	2	0	2.422	2.699
1056	0	3	3	1	2.753	2.086
1058	2	5	5	0	2.349	2.238
1061	2	8	8	0	2.463	2.130
1067	2	5	14	0	1.894	1.757
1069	1	7	16	0	2.487	2.069
1071	0	0	18	2	2.714	2.574
1072	1	1	19	0	2.183	1.941
1078	1	7	25	0	2.350	2.777
1083	0	3	3	1	2.479	2.600
1093	1	4	13	0	1.881	1.576
1094	2	5	14	0	2.515	2.589
1098	0	0	18	2	2.936	2.317
1100	2	2	20	0	2.514	1.712
1101	0	3	21	1	2.548	1.886
1108	1	1	1	0	2.637	2.371
1135	1	1	1	0	3.279	2.888
1137	0	3	3	1	2.095	2.122
1140	0	6	6	1	1.858	2.628
1151	2	8	17	0	2.834	2.313
1157	2	5	23	0	1.944	2.411
1158	0	6	24	1	2.170	3.066
1174	1	4	13	0	1.911	2.002
1176	0	6	15	1	2.813	2.508
1180	1	1	19	0	2.033	2.593
1181	2	2	20	0	3.098	2.379
1190	2	2	2	0	2.141	2.532
1199	2	2	11	0	2.014	2.374
1201	1	4	13	0	2.613	2.444
1202	2	5	14	0	2.181	2.322
1204	1	7	16	0	2.255	2.588
1211	2	5	23	0	2.030	2.606
1213	1	7	25	0	2.561	2.749
1219	1	4	4	0	1.748	2.061
1222	1	7	7	0	3.061	2.434
1224	0	0	9	2	2.183	2.494
1227	0	3	12	1	2.550	2.517
1232	2	8	17	0	2.399	2.312
1236	0	3	21	1	2.427	2.284
1237	1	4	22	0	2.313	2.268
1241	2	8	26	0	2.639	2.456
1243	1	1	1	0	2.505	2.813
1253	2	2	11	0	2.710	2.607
1255	1	4	13	0	2.266	2.584
1268	2	8	26	0	2.519	2.453
1270	1	1	1	0	2.555	2.726
1275	0	6	6	1	1.726	2.710
1279	1	1	10	0	2.706	3.014
1282	1	4	13	0	2.233	2.369
1284	0	6	15	1	2.509	2.515
1291	1	4	22	0	2.423	2.734
1292	2	5	23	0	2.815	2.553
1293	0	6	24	1	2.329	2.820
1295	2	8	26	0	2.679	2.848
1302	0	6	6	1	1.720	2.694
1305	0	0	9	2	3.612	2.218
1306	1	1	10	0	1.926	2.598
1307	2	2	11	0	2.718	1.868
1308	0	3	12	1	2.045	2.617
1318	1	4	22	0	3.483	2.586
1319	2	5	23	0	2.280	2.235
1321	1	7	25	0	2.782	2.301
1324	1	1	1	0	2.118	2.880
1331	2	8	8	0	2.250	2.876
1332	0	0	9	2	2.188	2.377
1344	0	3	21	1	2.298	2.631
1345	1	4	22	0	2.380	2.013
1349	2	8	26	0	2.536	2.709
1363	1	4	13	0	2.871	2.182
1368	0	0	18	2	2.411	2.204
1370	2	2	20	0	2.454	2.904
1373	2	5	23	0	3.426	2.567
1376	2	8	26	0	2.246	2.991
1378	1	1	1	0	2.200	2.642
1382	2	5	5	0	2.480	2.875
1384	1	7	7	0	2.686	3.050
1386	0	0	9	2	1.876	2.295
1387	1	1	10	0	3.457	2.330
1394	2	8	17	0	1.995	2.827
1398	0	3	21	1	2.036	2.725
1399	1	4	22	0	1.954	2.624
1402	1	7	25	0	2.051	2.550
1413	0	0	9	2	3.065	2.550
1420	1	7	16	0	2.214	2.528
1423	1	1	19	0	2.791	2.337
1424	2	2	20	0	2.757	2.632
1426	1	4	22	0	2.242	2.492
1430	2	8	26	0	2.114	2.701
1431	0	0	0	3	2.476	2.781
1434	0	3	3	1	2.066	2.532
1435	1	4	4	0	1.900	2.912
1436	2	5	5	0	2.463	3.230
1438	1	7	7	0	1.718	2.916
1443	0	3	12	1	2.808	3.034
1444	1	4	13	0	2.097	2.511
1449	0	0	18	2	2.542	2.426
1451	2	2	20	0	2.155	2.854
1452	0	3	21	1	2.198	2.700
1454	2	5	23	0	3.012	2.954
1462	1	4	4	0	2.397	2.185
1464	0	6	6	1	1.449	2.223
1470	0	3	12	1	2.015	2.080
1482	0	6	24	1	3.292	2.075
1484	2	8	26	0	2.379	2.270
1485	0	0	0	3	2.711	2.423
1488	0	3	3	1	3.047	2.463
1489	1	4	4	0	2.193	2.335
1491	0	6	6	1	1.928	2.463
1498	1	4	13	0	2.502	1.621
1500	0	6	15	1	1.955	2.277
1501	1	7	16	0	2.856	2.396
1503	0	0	18	2	2.185	2.325
1504	1	1	19	0	2.615	2.285
1505	2	2	20	0	2.301	2.394
1506	0	3	21	1	1.997	1.895
1507	1	4	22	0	2.349	2.108
1514	2	2	2	0	2.123	2.860
1521	0	0	9	2	2.534	2.109
1523	2	2	11	0	2.548	2.394
1525	1	4	13	0	2.008	2.304
1536	0	6	24	1	1.513	2.561
1539	0	0	0	4	3.009	2.559
1543	1	4	4	0	2.017	2.386
1563	0	6	24	1	3.440	2.413
1564	1	7	25	0	2.108	2.654
1566	0	0	0	3	2.137	2.324
1571	2	5	5	0	2.292	2.432
1577	2	2	11	0	2.025	1.999
1580	2	5	14	0	2.687	2.292
1586	2	2	20	0	3.406	2.402
1589	2	5	23	0	2.346	2.347
1591	1	7	25	0	2.185	2.182
1592	2	8	26	0	2.030	2.668
1594	1	1	1	0	2.725	2.368
1595	2	2	2	0	2.374	2.605
1604	2	2	11	0	2.173	2.588
1607	2	5	14	0	1.874	2.610
1608	0	6	15	1	3.430	2.526
1615	1	4	22	0	2.417	2.242
1626	0	6	6	1	2.042	2.470
1630	1	1	10	0	2.375	2.474
1641	0	3	21	1	2.298	2.557
1643	2	5	23	0	3.092	2.119
1645	1	7	25	0	2.712	2.102
1647	0	0	0	3	1.603	2.294
1649	2	2	2	0	2.093	2.443
1655	2	8	8	0	1.920	2.690
1656	0	0	9	2	1.492	2.591
1657	1	1	10	0	2.364	2.305
1658	2	2	11	0	1.921	2.769
1659	0	3	12	1	2.326	2.476
1663	1	7	16	0	1.548	2.212
1664	2	8	17	0	1.753	2.242
1666	1	1	19	0	2.538	1.897
1676	2	2	2	0	2.477	2.837
1682	2	8	8	0	2.254	2.609
1683	0	0	9	2	1.850	2.811
1685	2	2	11	0	2.955	2.333
1688	2	5	14	0	2.034	2.589
1691	2	8	17	0	2.005	2.422
1696	1	4	22	0	2.314	2.111
1705	1	4	4	0	2.365	2.701
1706	2	5	5	0	2.436	2.763
1709	2	8	8	0	2.333	2.756
1715	2	5	14	0	1.995	2.484
1717	1	7	16	0	3.065	2.214
1720	1	1	19	0	1.835	2.007
1723	1	4	22	0	2.228	1.784
1725	0	6	24	1	2.518	2.385
1738	1	1	10	0	2.519	1.787
1739	2	2	11	0	2.074	2.035
1745	2	8	17	0	2.360	2.669
1754	2	8	26	0	2.188	2.878
1756	1	1	1	0	2.267	2.481
1758	0	3	3	1	2.618	2.350
1759	1	4	4	0	2.184	2.704
1762	1	7	7	0	2.691	2.698
1763	2	8	8	0	2.323	3.235
1771	1	7	16	0	2.395	2.487
1773	0	0	18	2	3.989	2.290
1774	1	1	19	0	2.402	2.327
1775	2	2	20	0	2.247	2.631
1776	0	3	21	1	3.865	3.065
1778	2	5	23	0	2.736	2.873
1782	0	0	0	4	2.590	2.186
1786	1	4	4	0	2.543	2.698
1787	2	5	5	0	1.689	2.694
1788	0	6	6	1	2.238	2.600
1795	1	4	13	0	2.305	2.071
1803	0	3	21	1	1.952	2.257
1815	0	6	6	1	2.264	2.273
1816	1	7	7	0	2.258	2.094
1823	2	5	14	0	2.041	2.238
1832	2	5	23	0	2.095	1.980
1836	0	0	0	3	2.732	2.416
1838	2	2	2	0	2.792	2.805
1840	1	4	4	0	3.607	2.405
1841	2	5	5	0	2.752	2.633
1849	1	4	13	0	1.498	2.464
1854	0	0	18	2	2.563	2.424
1860	0	6	24	1	3.270	2.608
1863	0	0	0	4	1.534	2.759
1864	1	1	1	0	2.040	2.248
1873	1	1	10	0	2.550	2.473
1879	1	7	16	0	2.656	2.372
1882	1	1	19	0	2.504	2.351
1888	1	7	25	0	2.001	2.604
1891	1	1	1	0	2.447	2.371
1897	1	7	7	0	2.898	2.621
1898	2	8	8	0	1.583	2.914
1900	1	1	10	0	2.244	2.410
1910	2	2	20	0	1.715	2.318
1916	2	8	26	0	2.736	2.453
1919	2	2	2	0	2.441	2.995
1921	1	4	4	0	2.457	2.445
1924	1	7	7	0	2.183	2.780
1929	0	3	12	1	2.493	2.274
1938	0	3	21	1	2.729	2.343
1942	1	7	25	0	2.381	2.570
1945	1	1	1	0	3.074	2.232
1951	1	7	7	0	2.608	2.479
1954	1	1	10	0	3.345	1.969
1958	2	5	14	0	2.541	2.243
1962	0	0	18	2	2.395	2.553
1963	1	1	19	0	2.477	2.396
1965	0	3	21	1	1.729	2.478
1967	2	5	23	0	2.070	2.281
1969	1	7	25	0	1.727	2.791
1973	2	2	2	0	2.674	3.181
1974	0	3	3	1	2.951	2.399
1980	0	0	9	2	2.401	2.199
1981	1	1	10	0	2.258	2.227
1984	1	4	13	0	2.179	2.355
1986	0	6	15	1	2.156	2.696
1989	0	0	18	2	2.009	2.355
1993	1	4	22	0	1.785	1.988
1997	2	8	26	0	2.856	3.004
1998	0	0	0	3	2.731	3.096
2019	0	3	21	1	3.159	2.552
2020	1	4	22	0	3.103	2.443
2023	1	7	25	0	2.069	2.624
2027	2	2	2	0	1.803	2.789
2031	0	6	6	1	1.732	2.841
2032	1	7	7	0	1.635	2.603
2035	1	1	10	0	2.950	2.148
2040	0	6	15	1	2.323	2.362
2050	1	7	25	0	2.668	2.632
2058	0	6	6	1	2.212	2.178
2059	1	7	7	0	2.294	2.724
2067	0	6	15	1	2.744	2.815
2071	1	1	19	0	3.265	2.282
2072	2	2	20	0	2.948	2.631
2073	0	3	21	1	3.216	2.768
2075	2	5	23	0	2.123	2.273
2081	2	2	2	0	2.580	3.187
2082	0	3	3	1	3.064	2.729
2089	1	1	10	0	1.563	2.836
2090	2	2	11	0	2.060	2.723
2091	0	3	12	1	2.570	2.326
2092	1	4	13	0	2.347	2.527
2098	1	1	19	0	2.077	2.358
2099	2	2	20	0	1.979	2.665
2104	1	7	25	0	3.477	2.521
2112	0	6	6	1	2.216	3.006
2127	0	3	21	1	2.222	2.621
2139	0	6	6	1	1.684	2.903
2141	2	8	8	0	2.878	3.617
2145	0	3	12	1	2.578	2.281
2150	2	8	17	0	2.044	2.962
2152	1	1	19	0	1.943	2.692
2154	0	3	21	1	2.307	2.642
2159	2	8	26	0	2.487	2.862
2166	0	6	6	1	2.460	3.085
2168	2	8	8	0	2.581	3.275
2182	1	4	22	0	2.047	2.583
2184	0	6	24	1	1.948	2.692
2195	2	8	8	0	1.632	2.170
2199	0	3	12	1	2.309	2.127
2201	2	5	14	0	2.545	1.947
2203	1	7	16	0	2.421	1.994
2204	2	8	17	0	2.564	2.087
2207	2	2	20	0	1.760	2.373
2208	0	3	21	1	2.339	1.873
2212	1	7	25	0	1.674	1.860
2213	2	8	26	0	2.483	2.630
2217	0	3	3	1	3.287	1.698
2221	1	7	7	0	3.125	2.241
2222	2	8	8	0	1.627	2.181
2226	0	3	12	1	2.094	2.075
2227	1	4	13	0	1.590	1.855
2234	2	2	20	0	2.254	2.444
2237	2	5	23	0	3.155	2.393
2241	0	0	0	3	2.237	2.257
2242	1	1	1	0	3.467	2.273
2243	2	2	2	0	2.546	2.566
2245	1	4	4	0	2.572	1.804
2248	1	7	7	0	2.162	2.230
2254	1	4	13	0	2.253	1.706
2255	2	5	14	0	2.209	1.910
2256	0	6	15	1	1.817	1.965
2258	2	8	17	0	2.165	2.183
2259	0	0	18	2	1.389	2.421
2261	2	2	20	0	2.937	2.034
2266	1	7	25	0	2.279	2.660
2267	2	8	26	0	2.783	2.249
2274	0	6	6	1	2.208	2.294
2279	2	2	11	0	2.295	1.914
2280	0	3	12	1	3.085	2.132
2287	1	1	19	0	2.247	1.802
2292	0	6	24	1	2.657	1.977
2306	2	2	11	0	2.039	2.246
2308	1	4	13	0	3.272	1.616
2320	1	7	25	0	2.157	2.381
2321	2	8	26	0	2.307	2.065
2322	0	0	0	3	2.589	2.252
2326	1	4	4	0	2.023	2.307
2332	1	1	10	0	2.625	1.928
2333	2	2	11	0	2.194	1.821
2337	0	6	15	1	2.911	2.230
2339	2	8	17	0	1.884	1.622
2347	1	7	25	0	2.809	2.887
2361	0	3	12	1	2.117	2.255
2363	2	5	14	0	1.555	1.875
2371	1	4	22	0	2.489	2.852
2376	0	0	0	3	2.115	2.186
2377	1	1	1	0	2.555	1.880
2378	2	2	2	0	2.604	2.518
2384	2	8	8	0	3.024	2.954
2386	1	1	10	0	2.414	2.192
2388	0	3	12	1	2.587	2.550
2391	0	6	15	1	2.650	2.636
2393	2	8	17	0	2.099	2.572
2396	2	2	20	0	2.444	2.267
2400	0	6	24	1	2.028	2.504
2408	2	5	5	0	2.413	2.194
2409	0	6	6	1	1.847	2.534
2415	0	3	12	1	2.582	1.815
2416	1	4	13	0	2.508	2.145
2420	2	8	17	0	2.923	2.474
2423	2	2	20	0	2.747	2.097
2426	2	5	23	0	2.094	2.267
2427	0	6	24	1	2.566	2.478
2430	0	0	0	5	2.208	2.262
2431	1	1	1	0	2.422	2.427
2435	2	5	5	0	3.056	2.123
2436	0	6	6	1	1.595	2.115
2440	1	1	10	0	2.026	1.623
2447	2	8	17	0	2.943	2.163
2451	0	3	21	1	2.592	2.445
2452	1	4	22	0	2.040	1.826
2453	2	5	23	0	2.881	2.542
2457	0	0	0	3	2.597	2.006
2458	1	1	1	0	2.361	1.364
2459	2	2	2	0	2.139	2.470
2465	2	8	8	0	2.174	2.714
2467	1	1	10	0	4.119	1.927
2469	0	3	12	1	1.973	2.257
2470	1	4	13	0	2.389	2.277
2474	2	8	17	0	1.818	2.276
2490	0	6	6	1	2.535	2.668
2491	1	7	7	0	2.654	2.055
2502	0	0	18	2	3.803	1.845
2505	0	3	21	1	2.842	1.806
2514	0	3	3	1	2.512	2.250
2519	2	8	8	0	2.130	1.937
2520	0	0	9	2	3.737	2.134
2521	1	1	10	0	2.002	2.071
2525	2	5	14	0	2.949	1.915
2526	0	6	15	1	2.309	2.575
2528	2	8	17	0	2.635	2.212
2529	0	0	18	2	2.603	2.083
2538	0	0	0	3	2.405	2.486
2549	2	2	11	0	2.972	1.967
2550	0	3	12	1	1.929	1.473
2551	1	4	13	0	2.155	1.808
2552	2	5	14	0	3.939	2.051
2553	0	6	15	1	2.576	2.177
2559	0	3	21	1	2.567	2.541
2567	2	2	2	0	2.568	2.384
2569	1	4	4	0	2.419	2.546
2571	0	6	6	1	2.549	2.358
2577	0	3	12	1	2.511	2.271
2580	0	6	15	1	2.873	1.867
2582	2	8	17	0	2.714	2.384
2583	0	0	18	2	2.506	2.475
2584	1	1	19	0	3.063	1.798
2586	0	3	21	1	2.728	1.713
2587	1	4	22	0	3.232	2.232
2589	0	6	24	1	2.865	1.971
2590	1	7	25	0	2.824	2.279
2592	0	0	0	4	1.977	2.168
2595	0	3	3	1	1.394	2.265
2596	1	4	4	0	2.803	2.136
2614	1	4	22	0	2.274	2.193
2620	1	1	1	0	2.745	2.006
2622	0	3	3	1	2.049	2.133
2623	1	4	4	0	2.245	2.330
2625	0	6	6	1	1.693	2.310
2628	0	0	9	2	2.676	1.780
2629	1	1	10	0	2.537	1.936
2631	0	3	12	1	1.924	1.946
2635	1	7	16	0	1.794	2.410
2640	0	3	21	1	1.874	2.739
2641	1	4	22	0	2.565	2.383
2647	1	1	1	0	2.829	2.187
2648	2	2	2	0	2.468	2.565
2660	2	5	14	0	2.325	2.180
2661	0	6	15	1	1.871	2.346
2670	0	6	24	1	2.185	2.673
2673	0	0	0	5	2.526	1.962
2674	1	1	1	0	2.426	2.053
2682	0	0	9	2	2.106	2.715
2683	1	1	10	0	3.284	2.159
2684	2	2	11	0	3.428	2.419
2686	1	4	13	0	1.891	2.262
2688	0	6	15	1	2.330	2.605
2698	1	7	25	0	2.220	2.238
2700	0	0	0	3	1.912	2.597
2704	1	4	4	0	2.868	2.553
2707	1	7	7	0	1.824	2.503
2708	2	8	8	0	2.071	2.707
2709	0	0	9	2	3.261	2.096
2727	0	0	0	3	2.200	2.618
2739	0	3	12	1	2.724	2.281
2746	1	1	19	0	2.676	2.032
2748	0	3	21	1	2.569	2.184
2750	2	5	23	0	2.382	3.400
2753	2	8	26	0	2.502	2.779
2760	0	6	6	1	2.505	2.495
2762	2	8	8	0	2.150	2.667
2763	0	0	9	2	2.398	2.074
2775	0	3	21	1	2.072	2.420
2776	1	4	22	0	1.940	2.226
2777	2	5	23	0	2.082	2.513
2778	0	6	24	1	2.764	2.642
2782	1	1	1	0	2.696	2.249
2783	2	2	2	0	2.901	2.459
2784	0	3	3	1	3.095	1.933
2787	0	6	6	1	1.739	2.275
2789	2	8	8	0	2.525	2.798
2791	1	1	10	0	3.211	2.314
2797	1	7	16	0	2.606	2.117
2805	0	6	24	1	2.697	2.598
2806	1	7	25	0	2.218	2.171
2808	0	0	0	3	2.379	2.731
2809	1	1	1	0	2.366	2.079
2811	0	3	3	1	2.078	2.516
2813	2	5	5	0	2.622	2.756
2825	2	8	17	0	2.482	2.832
2830	1	4	22	0	2.112	2.099
2834	2	8	26	0	2.075	2.434
2839	1	4	4	0	1.765	2.488
2840	2	5	5	0	2.202	2.860
2842	1	7	7	0	1.629	2.725
2845	1	1	10	0	3.310	2.563
2848	1	4	13	0	2.360	2.338
2850	0	6	15	1	2.689	2.775
2851	1	7	16	0	2.742	2.479
2860	1	7	25	0	1.929	2.585
2867	2	5	5	0	2.206	2.713
2871	0	0	9	2	3.027	2.002
2874	0	3	12	1	2.689	2.377
2876	2	5	14	0	2.561	2.613
2884	1	4	22	0	3.032	2.073
2885	2	5	23	0	2.431	2.642
2887	1	7	25	0	2.177	2.523
2888	2	8	26	0	2.632	2.991
2907	0	0	18	2	2.581	2.703
2916	0	0	0	6	2.403	1.977
2925	0	0	9	2	2.715	1.908
2926	1	1	10	0	2.841	2.230
2927	2	2	11	0	2.014	1.696
2931	0	6	15	1	1.966	1.639
2932	1	7	16	0	1.647	1.876
2934	0	0	18	2	2.161	2.504
2935	1	1	19	0	1.705	2.166
2936	2	2	20	0	1.954	1.801
2950	1	7	7	0	2.175	1.983
2951	2	8	8	0	2.259	2.448
2953	1	1	10	0	2.008	2.376
2954	2	2	11	0	2.818	2.152
2955	0	3	12	1	2.640	2.116
2957	2	5	14	0	2.166	2.340
2958	0	6	15	1	3.277	2.046
2959	1	7	16	0	2.275	2.162
2961	0	0	18	2	2.633	1.675
2962	1	1	19	0	2.228	1.993
2967	0	6	24	1	3.245	2.096
2978	2	8	8	0	1.968	2.331
2979	0	0	9	2	1.780	1.916
2984	2	5	14	0	1.791	2.015
2986	1	7	16	0	1.686	1.824
2988	0	0	18	2	3.122	2.411
2989	1	1	19	0	2.748	2.332
2992	1	4	22	0	3.288	1.679
2995	1	7	25	0	1.542	2.020
2998	1	1	1	0	1.651	2.104
3003	0	6	6	1	1.923	2.093
3005	2	8	8	0	2.016	2.038
3006	0	0	9	2	1.911	1.937
3011	2	5	14	0	2.339	1.783
3012	0	6	15	1	3.147	1.993
3013	1	7	16	0	2.821	2.117
3024	0	0	0	3	2.054	2.109
3029	2	5	5	0	1.613	2.289
3039	0	6	15	1	2.811	1.888
3045	0	3	21	1	3.143	1.767
3047	2	5	23	0	2.400	2.065
